City,County,Place,lat,lon,Location,hotel_id
Goa,India,Hotel Gomantak,15.6007517,73.82521009999998,"Hotel Gomantak,Goa,India",10894320215338140387
Goa,India,Hotel Cafe Prasad,15.499905300000002,73.82963790000002,"Hotel Cafe Prasad,Goa,India",6693854042160250963
Goa,India,Hotel Panjim Tourist,15.4958561,73.82421509999998,"Hotel Panjim Tourist,Goa,India",1943828119618406185
Goa,India,Amonkar's Hotel,15.4857837,73.8115458,"Amonkar's Hotel,Goa,India",4505921316173661907
Goa,India,London Hotel,15.483047699999998,73.8109686,"London Hotel,Goa,India",16318886432863111825
Goa,India,Hotel Lucky,15.269643099999998,73.963071,"Hotel Lucky,Goa,India",12095066879830017774
Goa,India,Hotel Turtle,15.622819,73.73752759999998,"Hotel Turtle,Goa,India",10676477473486815868
Goa,India,Hotel Ganesh,15.6716886,73.71475759999998,"Hotel Ganesh,Goa,India",10978119620419667431
Goa,India,Deep Divya Diksha Hotel Cold Drinks & Restaurant,15.6306357,73.73645350000002,"Deep Divya Diksha Hotel Cold Drinks & Restaurant,Goa,India",14720339261960965249
Goa,India,Hotel Satkar,15.2610601,73.93031529999998,"Hotel Satkar,Goa,India",11810609916068646177
Goa,India,Geeta Hotel,15.2485375,73.937399,"Geeta Hotel,Goa,India",10386600813785272174
Goa,India,Hotel clipency,15.3012646,73.9195917,"Hotel clipency,Goa,India",2909565537179487294
Goa,India,Hotel Astoria,15.5967958,73.7890079,"Hotel Astoria,Goa,India",623768505194791933
Goa,India,Famafa Hotel,15.6918568,73.7023911,"Famafa Hotel,Goa,India",17927674023032472483
Goa,India,Hotel incity,15.4966164,73.8221583,"Hotel incity,Goa,India",3803865864336130926
Goa,India,Hotel Mahalaxmi-2,15.4976365,73.8225995,"Hotel Mahalaxmi-2,Goa,India",9251121627086671360
Goa,India,Hotel Chandrajeet,15.5298232,73.8251391,"Hotel Chandrajeet,Goa,India",171837752139140051
Goa,India,Hotel golden eye,15.5342182,73.7591555,"Hotel golden eye,Goa,India",15527342989474482336
Goa,India,Hotel good Shepherd,15.2776795,73.920487,"Hotel good Shepherd,Goa,India",8992865820257897674
Goa,India,Sri Ganesh Hotel,15.375205599999996,73.925827,"Sri Ganesh Hotel,Goa,India",11584440675776022526
Goa,India,Hotel rebello,15.3993275,73.8203254,"Hotel rebello,Goa,India",8002733624304815763
Goa,India,Hotel Rajesh,15.4001545,73.80452840000002,"Hotel Rajesh,Goa,India",10437484051736249665
Goa,India,Hotel Supreme,15.3981577,73.81561620000002,"Hotel Supreme,Goa,India",14498682072857267246
Goa,India,Tukaram Hotel,15.5309342,73.7645739,"Tukaram Hotel,Goa,India",158954291577047083
Goa,India,Cota Hotel,15.2377934,74.0241913,"Cota Hotel,Goa,India",23277510333582312
Goa,India,Hotel Flora residency,15.5429483,73.7608834,"Hotel Flora residency,Goa,India",9751056281035557814
Goa,India,Hotel Om Sidhivinayak,15.5586991,74.0142517,"Hotel Om Sidhivinayak,Goa,India",991861065612938475
Goa,India,Shanbag Hotel,15.561667800000002,74.00989659999998,"Shanbag Hotel,Goa,India",5939266059818716398
Goa,India,Prabhudeva Hotel,15.5621783,74.0091205,"Prabhudeva Hotel,Goa,India",15666786027840946320
Goa,India,Hotel Sai Prasad,15.5622557,74.008786,"Hotel Sai Prasad,Goa,India",5604026476782895355
Goa,India,Hotel Jyoti Plaza,15.272665099999998,73.9616417,"Hotel Jyoti Plaza,Goa,India",9266331309397199563
Goa,India,Hotel Jyoti Plaza,15.272696599999998,73.9617594,"Hotel Jyoti Plaza,Goa,India",4429429840893133576
Goa,India,Saloni Hotel,15.7167029,73.69594529999998,"Saloni Hotel,Goa,India",5766152286642915705
Goa,India,Hotel Duttraj,15.271498,73.95920770000002,"Hotel Duttraj,Goa,India",7999608287238767869
Goa,India,Hotel Roshani,15.2716883,73.9592172,"Hotel Roshani,Goa,India",12105103490158382773
Goa,India,Hotel Turtle,15.6224283,73.7377409,"Hotel Turtle,Goa,India",13579342715674903770
