,Place,city,County,lat,lon,cordinates,Location,_id
106,Shri Maruti Temple,Goa,India,15.433705800000002,73.985833627828,"(15.4337058, 73.985833627828)","Shri Maruti Temple, Belgaum - Panaji Highway, Nageshi, Bandora, North Goa, Goa, 403404, भारत",31620767551981916319156457808290345837
107,Shri Bhumika Devi Temple,Goa,India,15.58731485,74.02893245,"(15.58731485, 74.02893245)","Shri Bhumika Devi Temple, NH748AA, Gululem, North Goa, Goa, 403505, भारत",134016888842724968996819424795084273176
108,Shri Betal Temple,Goa,India,15.52600425,74.00275264552191,"(15.52600425, 74.0027526455219)","Shri Betal Temple, Amona Bridge, Amona, North Goa, Goa, 403505, भारत",170796937722201866362270091031017985134
109,Shri Laxminarayan Temple,Goa,India,15.527887,74.00451118785709,"(15.527887, 74.0045111878571)","Shri Laxminarayan Temple, Amona Bridge, Amona, North Goa, Goa, 403505, भारत",209267976718355765144773222746101887702
110,Shri Mahadev Temple,Goa,India,15.53088615,73.9785561670957,"(15.53088615, 73.9785561670957)","Shri Mahadev Temple, Amona Bridge, Amona, North Goa, Goa, 403505, भारत",45459349742804416597829780469656858234
111,Shri Gurudevbharma Temple,Goa,India,15.52576115,73.96883338300921,"(15.52576115, 73.9688333830092)","Shri Gurudevbharma Temple, Amona Bridge, Amona, North Goa, Goa, भारत",191721915044914920149608246767962699187
112,Shri Shantadurga Verlenkarin Temple,Goa,India,15.5124545,73.9595075465843,"(15.5124545, 73.9595075465843)","Shri Shantadurga Verlenkarin Temple, Amona Bridge, Amona, North Goa, Goa, 403110, भारत",311485858646609519179184355175733236215
113,Shri ShantadurgaTalaulikarin Temple,Goa,India,15.512866699999998,73.9594710660473,"(15.5128667, 73.9594710660473)","Shri ShantadurgaTalaulikarin Temple, Amona Bridge, Amona, North Goa, Goa, 403110, भारत",52456223373749153193218352029316014620
114,Shri Hanuman Temple,Goa,India,15.49046305,73.95748975008459,"(15.49046305, 73.9574897500846)","Shri Hanuman Temple, Belgaum - Panaji Highway, Banastarim, North Goa, Goa, 403110, भारत",114214270094449006964490850944539109117
115,Shri Shiv Temple,Goa,India,15.47484915,73.96354529999998,"(15.47484915, 73.9635453)","Shri Shiv Temple, Belgaum - Panaji Highway, Banastarim, North Goa, Goa, 403404, भारत",322004955658144250600172695276767797015
116,Shri Rudreshwar Temple,Goa,India,15.550362,74.02626,"(15.550362, 74.02626)","Shri Rudreshwar Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",261265940275996236110542278139312108065
117,Shri Tirupati Balaji Temple,Goa,India,15.456334,73.9735940498791,"(15.456334, 73.9735940498791)","Shri Tirupati Balaji Temple, Belgaum - Panaji Highway, Mardol, North Goa, Goa, 403404, भारत",6473982940753426946138191939950076767
118,Ajoba Temple,Goa,India,15.5434083,74.03921925,"(15.5434083, 74.03921925)","Ajoba Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",148367498128290203139016989059514206274
119,Shri Gopaleshwar Mahadev Temple,Goa,India,15.5669234,74.003762375,"(15.5669234, 74.003762375)","Shri Gopaleshwar Mahadev Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",23361669675386014463357946386754796037
120,Shri Ravalnath Temple,Goa,India,15.48821955,73.9651125538216,"(15.48821955, 73.9651125538216)","Shri Ravalnath Temple, Belgaum - Panaji Highway, Banastarim, North Goa, Goa, 403404, भारत",277736073312444336256006105081294845035
121,Shri Mahapurush Temple,Goa,India,15.4886375,73.9674658,"(15.4886375, 73.9674658)","Shri Mahapurush Temple, Belgaum - Panaji Highway, Banastarim, North Goa, Goa, 403404, भारत",28761394757736928025283390598520773763
122,Shri Ghadwash Temple,Goa,India,15.5610118,74.0403088006131,"(15.5610118, 74.0403088006131)","Shri Ghadwash Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",184873808612215086430402385048083462130
123,Shri Sateri Devi Temple,Goa,India,15.5645848,74.0432898572664,"(15.5645848, 74.0432898572664)","Shri Sateri Devi Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",328946165437807601147829920045281258990
