City,County,Place,lat,lon,rest_id,Location
Goa,India,Krishna Multi Cuisine Veg Restaurant,15.286398000000002,73.97835500000002,4249656415256921709,"Krishna Multi Cuisine Veg Restaurant,Goa,India"
Goa,India,Kross Roads Restaurant,15.285973,73.979324,4205629709019466810,"Kross Roads Restaurant,Goa,India"
Goa,India,Pai Palace Pure Veg Family Restaurant,15.273079999999998,73.96109,2306021359936816167,"Pai Palace Pure Veg Family Restaurant,Goa,India"
Goa,India,Laxmi Veg Restaurant,15.284537,73.97555,16714796437409386256,"Laxmi Veg Restaurant,Goa,India"
Goa,India,Spicy Family Restaurant,15.270366,73.96226,11379452629848638573,"Spicy Family Restaurant,Goa,India"
Goa,India,White House Bar & Restaurant,15.460913,73.80566999999998,12019877071674363803,"White House Bar & Restaurant,Goa,India"
Goa,India,Klassic Restaurant,15.257748499999998,73.9658114,3401060046596622417,"Klassic Restaurant,Goa,India"
Goa,India,Huniso Resto Bar,15.17934,73.94726,5507709901916096068,"Huniso Resto Bar,Goa,India"
Goa,India,Preeti Milena Udpi Resturant,15.260728,74.10778,8005674265699107723,"Preeti Milena Udpi Resturant,Goa,India"
Goa,India,SatyaVinayak Bar & Restaurant,15.277248,73.97582,12531246474952789503,"SatyaVinayak Bar & Restaurant,Goa,India"
Goa,India,Mac C's Restaurant,15.1725855,74.00542,2230651674410631232,"Mac C's Restaurant,Goa,India"
Goa,India,Capricorn Bar & Restaurant,15.254564000000002,73.96149399999999,12617632511487657600,"Capricorn Bar & Restaurant,Goa,India"
Goa,India,Kingsley Restaurant and Bar,15.296724,73.92358399999998,11473828457564753116,"Kingsley Restaurant and Bar,Goa,India"
Goa,India,Kashi Dairy Sweets & Restaurant,15.408333,73.791664,17587275218890146971,"Kashi Dairy Sweets & Restaurant,Goa,India"
Goa,India,Shaguna Wines N Restaurant With Bar,15.203166,73.99518,4079318915331671836,"Shaguna Wines N Restaurant With Bar,Goa,India"
